#, Source, Destination, Nb sommets traités classique, Nb sommets traités bidirectionnel
774,8009,5361,4984,3042
775,9494,6595,8273,6629
776,8604,1117,8208,5320
777,4160,645,9915,5849
778,4120,7853,3370,2484
779,8046,429,5475,4125
780,2321,9708,5549,3461
781,8573,4124,2004,1007
782,7768,1455,2956,1539
783,317,176,658,365
784,9097,6083,4508,3421
785,652,9615,6490,4884
786,4832,6198,8630,4767
787,7920,8192,1723,1128
788,3451,6206,4604,2721
789,7315,1814,7815,6289
790,1563,8714,9516,3597
791,1688,4137,3819,3321
792,9380,6835,5812,2491
793,5437,5826,6885,5462
794,6468,3022,6100,5125
795,5817,1411,4168,2667
796,896,7873,3319,2603
797,9924,2961,3762,1365
798,9210,4719,9314,5225
799,9254,8592,8492,6148
800,9615,4546,2912,1299
801,3095,5689,3292,2469
802,6540,5716,3349,1503
803,8598,3930,4801,3794
804,5761,8634,5422,2882
805,1334,7162,3426,3096
806,7870,846,4709,3457
807,2546,5271,7504,5032
808,8090,9511,1989,1341
809,3888,398,914,633
810,7986,9703,4984,3395
811,7043,4135,7948,3656
812,7246,5713,7829,5619
813,1931,3290,3554,2044
814,143,2548,8274,5222
815,8600,3761,1383,1061
816,6501,681,7678,5122
817,6988,5068,5384,3515
818,9725,1989,211,132
819,5134,9979,8354,5947
820,6920,5947,5594,2818
821,3498,3020,3979,2066
822,5894,5809,4538,2776
823,213,5505,4665,1692
824,1537,4381,3324,2984
825,3391,5053,983,510
826,7127,877,5077,3809
827,3985,9211,4434,2974
828,4143,3072,6494,5440
829,3046,1018,6988,4067
830,4860,5683,3593,2086
831,4838,5113,8403,6578
832,5103,8620,2195,1474
833,4190,219,2401,1233
834,2182,1405,4256,3656
835,1083,7463,2580,1261
836,2451,2085,9728,4738
837,2612,4832,2755,1369
838,3112,2025,4313,2615
839,7512,8251,8694,6728
840,4414,3114,8149,3136
841,2556,6962,4025,3256
842,1669,5363,3289,1369
843,135,6692,5995,5082
844,8998,1906,5088,4190
845,6361,9270,7222,4640
846,1060,6640,4308,3034
847,5893,1947,176,81
848,5185,5039,1000,693
849,4112,6091,4226,3798
850,4108,8223,7019,3133
851,1058,8563,2507,1283
852,5719,876,9559,4840
853,3241,1080,8620,4929
854,5175,8648,691,368
855,492,2169,4896,2339
856,7430,3393,6578,3208
857,5165,4561,1383,714
858,3602,1502,5184,4510
859,1016,3318,2470,1240
860,3448,7067,9719,6433
861,9192,2545,7667,4454
862,3211,9646,1531,582
863,9289,698,540,291
864,9758,2038,5450,3545
865,4248,4511,7713,5045
866,754,8768,7790,5666
867,1494,9616,6261,3948
868,1480,2469,8610,6945
869,4251,6651,4136,2087
870,3832,6355,575,295
871,9768,7263,1103,799
872,666,2373,5862,5152
873,965,6015,724,359
874,5826,8066,1143,579
875,6729,3221,954,446
876,8089,8496,179,121
877,9687,9264,5706,3897
878,8854,498,7246,5171
879,1157,7963,4483,4035
880,187,6693,704,348
881,7640,1291,9173,6953
882,4300,9043,6930,5210
883,7724,4693,7448,4562
884,2794,9250,6057,4235
885,5040,7114,7065,5009
886,9774,3549,3964,1867
887,3598,6833,5239,3159
888,4817,5020,8758,6819
889,3255,1423,3568,2467
890,2887,3154,5844,4410
891,4413,5413,6441,4473
892,1485,2611,4075,1838
893,7306,613,6196,5370
894,5080,8976,2438,2078
895,7918,2434,7563,6186
896,4540,2753,9364,4673
897,6982,1636,1483,848
898,6894,9485,4850,3320
899,9175,2517,6184,4634
900,2177,1065,5306,4606
901,443,2251,5072,3504
902,1852,1323,4135,2604
903,8210,8306,984,492
904,7645,89,8391,6400
905,6969,1413,3430,1845
906,3543,9379,8902,6639
907,9880,6361,1270,642
908,9047,6874,9692,3775
909,197,3191,452,248
910,661,8347,8690,3925
911,5287,5427,2702,1882
912,6677,764,9552,6875
913,5653,5677,9616,7370
914,5612,1378,7110,5828
915,7356,2916,1007,496
916,8000,861,3944,3453
917,4143,2386,47,48
918,281,8433,8826,5472
919,4473,872,6256,4017
920,1156,9921,582,371
921,702,5014,9777,7245
922,2758,6089,4630,2447
923,5519,9479,7570,6654
924,524,2856,8490,6593
925,6573,3607,391,200
926,8353,2968,1732,1440
927,5364,2898,6211,4936
928,5066,3180,4126,3612
929,921,9483,5664,4481
930,475,5942,177,119
931,2783,3925,9004,4608
932,9724,4226,8745,4781
933,770,4770,8858,6933
934,9030,8802,1634,869
935,6390,4565,1264,812
936,9272,9766,9156,6285
937,186,9318,6647,3882
938,5654,8823,4008,3623
939,4534,2530,9054,7122
940,7488,2225,1044,550
941,8388,3931,8023,3211
942,8385,3915,2035,1354
943,1867,771,8617,5616
944,2206,8708,6629,3016
945,3013,6193,5953,4272
946,4382,7660,3117,2002
947,8339,1118,4503,3975
948,2841,2876,7070,4979
949,5671,2783,7505,5297
950,3033,1619,1770,1271
951,6766,879,1378,1030
952,9997,7406,9360,6135
953,3952,4775,73,41
954,9837,2162,6548,5375
955,6048,5341,5138,2582
956,375,7721,7172,5835
957,9023,5575,9765,7154
958,232,3527,7675,6181
959,8157,2570,366,171
960,262,6232,198,83
961,9183,868,2048,1145
962,6922,3113,2680,1396
963,764,4881,5585,4798
964,6299,9327,1623,970
965,545,4366,7890,6429
966,2821,4903,3748,1917
967,1989,5640,8980,4796
968,7145,9339,2274,2016
969,7606,528,9860,7413
970,5198,9806,3898,2207
971,2082,6509,9936,6287
972,7157,7989,3419,2066
973,3266,7662,8061,6553
974,6522,8929,2353,1173
975,3297,5771,4945,2335
976,4470,1629,8293,6034
977,1882,870,6735,2911
978,2929,3104,3202,2751
979,4799,868,3686,3274
980,8821,4704,9707,6281
981,4998,7730,6897,3517
982,5727,5316,5393,4532
983,4926,9765,6967,3815
984,7358,9283,7361,6165
985,8527,9826,1837,1558
986,3981,8046,8297,6024
987,9855,1351,4706,2739
988,877,2807,4291,3722
989,4945,1956,9726,6308
990,6987,1757,4414,2193
991,4536,5993,6433,3876
992,7346,5909,129,93
993,9098,3614,2281,1148
994,3033,4886,6202,3692
995,4640,9209,5355,4548
996,4877,4081,5161,2065
997,3945,9007,4094,2910
998,9113,6972,680,335
999,589,522,7503,5544
1000,7777,1353,2293,1151
